rollover_12m,marginal_effect,se,ci_low,ci_high
0.0,0.365260996309954,2.238119442725243,-4.021453111431522,4.7519751040514295
0.003847464314944109,0.4045610826000068,2.193035806807272,-3.8937890987422463,4.70291126394226
0.007694928629888218,0.44386116889005955,2.1487453597420823,-3.767679736204422,4.655402073984541
0.011542392944832327,0.4831612551801123,2.105298162524177,-3.6432231433672744,4.6095456537274995
0.015389857259776436,0.5224613414701651,2.0627474994003654,-3.5205237573545514,4.565446440294881
0.019237321574720544,0.5617614277602179,2.021149994551983,-3.399692561561668,4.523215417082104
0.023084785889664654,0.6010615140502706,1.9805657059821915,-3.2808472696748243,4.482970297775366
0.026932250204608765,0.6403616003403234,1.9410581887177498,-3.164112449546466,4.444835650227113
0.030779714519552873,0.6796616866303762,1.9026945181252728,-3.0496195688951584,4.408942942155911
0.03462717883449698,0.718961772920429,1.8655452628279843,-2.93750694222242,4.375430488063278
0.03847464314944109,0.7582618592104817,1.829684395478122,-2.827919555926637,4.344443274347601
0.0423221074643852,0.7975619455005345,1.7951891286136354,-2.721008746582191,4.31613263758326
0.04616957177932931,0.8368620317905873,1.7621396621633783,-2.616931706049634,4.290655769630809
0.050017036094273416,0.87616211808064,1.7306188290568736,-2.515850786870832,4.2681750230321125
0.05386450040921753,0.9154622043706928,1.700711626068141,-2.4179325827228633,4.248856991464249
0.05771196472416164,0.9547622906607456,1.6725046187202992,-2.323346762031041,4.232871343352532
0.061559429039105745,0.9940623769507984,1.6460852120344085,-2.232264638636642,4.220389392538239
0.06540689335404985,1.0333624632408511,1.6215407833157423,-2.1448574720580034,4.211582398539706
0.06925435766899396,1.0726625495309037,1.5989576791379867,-2.06129450157955,4.206619600641357
0.07310182198393807,1.1119626358209564,1.578420086172461,-1.9817407330770673,4.20566600471898
0.07694928629888217,1.1512627221110092,1.5600087942801026,-1.906354514677992,4.2088799589000105
0.0807967506138263,1.1905628084010622,1.54379987986464,-1.8352849561336322,4.216410572935756
0.0846442149287704,1.229862894691115,1.529863347148735,-1.7686692657204055,4.228395055102635
0.08849167924371451,1.2691629809811678,1.5182617738283548,-1.7066300957224076,4.244956057684743
0.09233914355865862,1.3084630672712205,1.5090490143888475,-1.6492730009309204,4.266199135473362
0.09618660787360273,1.3477631535612733,1.5022690181281508,-1.5966841219699022,4.2922104290924485
0.10003407218854683,1.387063239851326,1.4979548187003913,-1.5489282048014406,4.3230546845040925
0.10388153650349094,1.4263633261413788,1.4961277472020773,-1.5060470583746925,4.3587737106574505
0.10772900081843506,1.4656634124314316,1.4967969114306863,-1.4680585339727135,4.399385358835577
0.11157646513337917,1.5049634987214844,1.4999589705152463,-1.4349560834883983,4.444883080931367
0.11542392944832328,1.5442635850115372,1.5055982177958736,-1.4067089218683748,4.495236091891449
0.11927139376326738,1.58356367130159,1.5136869672000552,-1.3832627844105183,4.550390127013698
0.12311885807821149,1.6228637575916427,1.524186221218631,-1.3645412359968738,4.610268751180159
0.1269663223931556,1.6621638438816955,1.537046583638373,-1.3504474600495155,4.674775147812906
0.1308137867080997,1.7014639301717482,1.5522093688147534,-1.3408664327051685,4.743794293048665
0.13466125102304383,1.740764016461801,1.5696078523116648,-1.335667374069062,4.817195406992664
0.13850871533798792,1.7800641027518536,1.5891686054288927,-1.3347063638887762,4.894834569392483
0.14235617965293204,1.8193641890419066,1.6108128581444299,-1.337829012921176,4.976557391004989
0.14620364396787613,1.858664275331959,1.6344578405349819,-1.3448730921166052,5.062201642780524
0.15005110828282026,1.897964361622012,1.6600180607599928,-1.3556710374675738,5.151599760711598
0.15389857259776435,1.9372644479120646,1.6874064870838597,-1.3700522667723,5.244581162596429
0.15774603691270847,1.9765645342021176,1.71653561113548,-1.3878452636234229,5.340974332027658
0.1615935012276526,2.01586462049217,1.7473183788251234,-1.4088794020050717,5.440608642989412
0.16544096554259669,2.055164706782223,1.7796689834640869,-1.4329865008073872,5.543315914371833
0.1692884298575408,2.0944647930722757,1.813503522320365,-1.4600021106756396,5.648931696820191
0.1731358941724849,2.1337648793623285,1.8487405229704037,-1.4897665456596627,5.75729630438432
0.17698335848742902,2.1730649656523813,1.8853013494180793,-1.522125679207054,5.868255610511817
0.18083082280237311,2.212365051942434,1.9231105002060125,-1.5569315284613503,5.981661632346219
0.18467828711731724,2.251665138232487,1.9620958118623681,-1.5940426530177545,6.097372929482728
0.18852575143226136,2.29096522452254,2.0021885812513536,-1.633324394730113,6.2152548437751935
0.19237321574720545,2.3302653108125924,2.0433236199630755,-1.674648984315036,6.335179605940221
0.19622068006214957,2.3695653971026456,2.0854392529980212,-1.717895538773476,6.457026332978767
0.20006814437709367,2.408865483392698,2.1284772728481545,-1.762949971389685,6.580680938175081
0.2039156086920378,2.448165569682751,2.1723828587883696,-1.8097048335424528,6.706035972907955
0.20776307300698188,2.4874656559728034,2.2171044698714977,-1.8580591049753323,6.832990416920939
0.211610537321926,2.5267657422628567,2.2625937188393017,-1.9079179466621747,6.961449431187888
0.21545800163687012,2.566065828552909,2.308805232967516,-1.9591924280634219,7.09132408516924
0.21930546595181422,2.605365914842962,2.355696506782134,-2.0117992384500205,7.222531068135945
0.22315293026675834,2.6446660011330145,2.403227750628963,-2.0656603900997537,7.354992392365783
0.22700039458170243,2.6839660874230677,2.451361738251003,-2.120702919548898,7.4886350943950335
0.23084785889664655,2.72326617371312,2.5000636558233973,-2.1768585917007384,7.6233909391269785
0.23469532321159065,2.7625662600031733,2.5493009543044076,-2.2340636104334655,7.759196130439812
0.23854278752653477,2.8018663462932256,2.5990432064715483,-2.292258338391009,7.89599103097746
0.24239025184147886,2.841166432583279,2.6492619696124224,-2.3513870278570694,8.033719893023626
0.24623771615642298,2.880466518873331,2.699930654517577,-2.4113975639811196,8.172330601727783
0.2500851804713671,2.9197666051633835,2.7510244011664042,-2.4722412211227685,8.311774431449535
0.2539326447863112,2.9590666914534367,2.8025199612959883,-2.5338724326867004,8.452005815593573
0.2577801091012553,2.99836677774349,2.8543955878876015,-2.596248574516209,8.59298213000319
0.2616275734161994,3.0376668640335422,2.9066309314878924,-2.659329761682727,8.734663489749812
0.2654750377311435,3.0769669503235946,2.959206943194811,-2.7230786583382356,8.877012558985424
0.26932250204608765,3.116267036613648,3.0121057840757897,-2.7874603001748994,9.019994373402195
0.27316996636103175,3.155567122903701,3.065310740742855,-2.8524419289522944,9.163576174759697
0.27701743067597584,3.1948672091937533,3.118806146781879,-2.917992838498729,9.307727256886235
0.28086489499092,3.2341672954838065,3.172577309717699,-2.9840842315628837,9.452418822530497
0.2847123593058641,3.273467381773859,3.226610443190653,-3.050689086879821,9.597623850427539
0.2885598236208082,3.312767468063912,3.280892604020835,-3.1177820358169237,9.743316971944747
0.29240728793575227,3.3520675543539644,3.335411633842288,-3.18533924797692,9.889474356684849
0.2962547522506964,3.3913676406440176,3.3901561049990896,-3.253338325154198,10.036073606442233
0.3001022165656405,3.43066772693407,3.4451152704074994,-3.321758203064629,10.183093656932769
0.3039496808805846,3.4699678132241223,3.5002790171024247,-3.3905790602966297,10.330514686744873
