variable,M0_coef,M0_se,M0_t,M0_p,M1_coef,M1_se,M1_t,M1_p,M2_coef,M2_se,M2_t,M2_p,M3_coef,M3_se,M3_t,M3_p,M4_coef,M4_se,M4_t,M4_p,M5_coef,M5_se,M5_t,M5_p,M6_coef,M6_se,M6_t,M6_p
leverage,28.962714732576252,19.2440922744161,1.5050184918870138,0.1323398044888171,26.0870022648225,18.68405701340444,1.3962172265962896,0.16266905344686533,25.17895984886862,18.58321829774617,1.3549299935804122,0.17545957855107708,31.143569976360713,19.96926871472639,1.5595748858541727,0.11888332777492328,26.23569671831439,18.684329407261657,1.404155115576045,0.160292670775251,30.709147670433712,20.078279786431924,1.5294710501636546,0.12617065414351725,26.71574463889098,18.6280029969585,1.4341711585108188,0.1515435727246741
log_assets,12.81283159387086,6.098128207479388,2.101108923580165,0.03564759419924157,-0.7479138528960396,6.4619583273772,-0.11574105170678271,0.9078592672432952,0.5918738335046853,6.325500744042181,0.09356948286855477,0.9254523598833659,-3.6973066744061103,6.849952818237967,-0.5397565169444742,0.5893736754044032,-0.6595361274870875,6.456808232045786,-0.10214584416705201,0.9186422322669321,-5.31832597625933,7.015204267869071,-0.7581142006966559,0.44839557823811305,0.5791351187573129,6.327183876631329,0.09153126099215748,0.927071649099968
cash_to_assets,-45.620793095675275,30.350500798847563,-1.5031314770729431,0.13282562189890545,-95.40408795165311,34.303272711854724,-2.7811949242581395,0.005422449422760822,-92.15915219703014,33.96394651989462,-2.7134406227806087,0.0066661960621503535,-104.7082485259367,34.67275571425629,-3.0198998138150333,0.002533211718702466,-95.54303398520143,34.33047896723541,-2.7830381882054875,0.005391754775814661,-109.16595282089897,34.94050827766806,-3.1243378588934694,0.001785752321596945,-91.98193240756447,33.971657166218485,-2.7076080497783774,0.006784421412485919
current_ratio,5.535843450377131,3.662655012446681,1.511429122198202,0.1306996460939307,7.401312741590659,4.094671638350329,1.8075473188791562,0.0706963309090447,7.095245199412883,4.069060523691504,1.7437059876848393,0.0812301654056733,7.635135142961309,4.311520939861831,1.7708681575383902,0.07660471920389877,7.392217283411715,4.098191735345286,1.8037753625963273,0.0712859088317348,8.072535240448358,4.345070410315669,1.857860627823955,0.06321011304037305,7.060510360556747,4.070421828390439,1.734589351725414,0.08283342083774703
interest_coverage,0.009398350740260427,0.02275255643816875,0.413067901437842,0.6795626094298566,0.02683849794475683,0.028429132944568263,0.9440491202136595,0.3451592388076856,0.025546049285490178,0.028247047080468223,0.9043794635494595,0.36580825802340344,0.015976489371122775,0.030029664510770243,0.5320235717382974,0.594718242501723,0.026338459843854252,0.028431460117471625,0.9263843550429832,0.3542606737223355,0.01662894223392516,0.030456972159653112,0.5459814635137571,0.5850875137977973,0.025379474724275725,0.028217427271105332,0.8994255387082836,0.36843999552337814
residual_maturity_mean,4.019727633370295,1.0135159183189364,3.966121854344033,7.33815908477986e-05,6.7356999757412295,0.8804909670229623,7.649936487725001,2.1316282072803006e-14,6.564938538037707,0.8757530223108073,7.496335577255698,6.905587213168474e-14,7.712390472424139,0.9477973650704069,8.137172307765622,4.440892098500626e-16,6.715348213474371,0.882489153474216,7.609553258572233,2.90878432451791e-14,7.951737596157539,0.9497826805577796,8.37216529521018,0.0,6.561757807730209,0.8781689005019572,7.472090851747926,8.304468224196171e-14
rollover_12m,-2.8414739825848447,13.738485761431027,-0.20682584907296736,0.836148598824654,24.789911287928717,14.851701361186214,1.6691630598441236,0.09510523118931924,21.30933634069789,14.771450796137815,1.4426028042059003,0.14915256816706624,22.638894397449114,15.486091407395946,1.4618856238080247,0.14379534696058527,24.90761409671942,14.857833886375897,1.6763960539065397,0.09368077809639597,26.50091088096293,15.608311447321059,1.6978717377856674,0.08955454092367865,21.409499228963192,14.79417102187116,1.4471577486370932,0.1478729442918565
ivol_252,233.6086348961823,35.82892663330655,6.520112569574436,7.243827759850774e-11,249.56999722306247,30.063291653980524,8.301486081282727,2.220446049250313e-16,257.20512614147276,29.888214436037792,8.605570155149415,0.0,258.34273384570895,31.623609619512848,8.169299360636638,4.440892098500626e-16,248.82660934783434,30.079658919871427,8.272255014948085,2.220446049250313e-16,249.09234055678064,31.97503642732419,7.790212878191419,7.105427357601002e-15,257.11680006949575,29.88655504501169,8.603092584014986,0.0
policy_rate,,,,,-9.190326787360076,0.8545589514752322,-10.754467870817734,0.0,-8.733087966067641,0.8446923088858784,-10.338780019894225,0.0,-10.682951905466208,0.7720331697528499,-13.837426064072,0.0,-9.215568520289697,0.857066049366107,-10.752460124987573,0.0,-11.263668027605716,0.7932765359041952,-14.198917423880593,0.0,-8.744251375865806,0.8484557784197182,-10.306077933905186,0.0
term_spread_10y_2y,,,,,-35.39460868003401,2.477044740205761,-14.289046986326893,0.0,-37.00540662808418,2.512874167862166,-14.72632696907646,0.0,-44.1667047341475,2.4361021163650247,-18.13007116468905,0.0,-35.31069615724372,2.4680131115021005,-14.307337344635362,0.0,-42.812993740618516,2.4116031125840065,-17.75291859477858,0.0,-37.01643015329419,2.5050602154267896,-14.776662822449424,0.0
move_eom,,,,,0.04449120152236654,0.03674621386813252,1.2107696777150345,0.22600212086752314,-0.0482011173048677,0.03895337901948358,-1.237405291098331,0.21595537144965116,0.009356528699886303,0.046889607064799714,0.19954376429207274,0.8418403554328711,0.043480627822752575,0.03680614017438442,1.1813416896405053,0.23748511036393682,0.10712216820134458,0.04366079698920925,2.453509225400072,0.014159278298910616,-0.04783503833088946,0.038948419045586845,-1.2281637997912405,0.21940410967679558
mkt_ret,,,,,,,,,-111.14719744807987,5.595110245545289,-19.86505941264928,0.0,-77.60938935669101,17.119893047065712,-4.533287044687056,5.856164161599509e-06,,,,,,,,,-65.25830107428416,15.083326777053296,-4.326519078905292,1.5243107497342478e-05
mkt_ret_x_leverage,,,,,,,,,,,,,-128.6051960082941,40.03475510254501,-3.21233877112236,0.001319614126912283,,,,,,,,,-132.55794034506224,39.0130129031932,-3.39778782720502,0.0006810370598195892
mkt_ret_x_market_power,,,,,,,,,,,,,194.22650056242372,73.65772460230842,2.6368789100001155,0.008376651286575942,,,,,,,,,,,,
credit_level,,,,,,,,,,,,,,,,,-6.436177715181539,1.4895647929222453,-4.320844414263425,1.5639974867642792e-05,-8.235508024859397,2.21066451456549,-3.725354060101743,0.0001958195146973818,0.365260996309954,2.238119442725243,0.16319995677495858,0.8703631251324515
credit_slope,,,,,,,,,,,,,,,,,-1.1047197186174753,0.07947440320287108,-13.900321035409378,0.0,0.8076424199871999,0.6217914897729135,1.2988959052529998,0.19400137917669258,-0.964594394731599,0.07932699965850033,-12.159723661352889,0.0
credit_level_x_rollover,,,,,,,,,,,,,,,,,,,,,5.446557759598283,15.864027671872105,0.34332755037079044,0.7313572921278442,10.214542117364296,15.887756395164528,0.6429191047058799,0.520286090125347
credit_level_x_market_power,,,,,,,,,,,,,,,,,,,,,15.781942294242462,15.352324104480362,1.0279839187108304,0.3039754279320386,,,,
